Año,Trimestre,Provincia,Accesos por cada 100 hab,Accesos por cada 100 hogares
2022,3,Buenos Aires,26.37,78.11
2022,3,Capital Federal,50.22,122.28
2022,3,Catamarca,16.62,65.33
2022,3,Chaco,11.72,43.86
2022,3,Chubut,25.86,84.38
2022,3,Córdoba,27.04,88.31
2022,3,Corrientes,12.69,48.21
2022,3,Entre Ríos,19.04,63.67
2022,3,Formosa,11.14,43.76
2022,3,Jujuy,15.06,58.91
2022,3,La Pampa,31.82,96.59
2022,3,La Rioja,21.47,80.66
2022,3,Mendoza,14.24,51.03
2022,3,Misiones,14.11,51.82
2022,3,Neuquén,23.92,80.37
2022,3,Río Negro,20.91,67.98
2022,3,Salta,13.99,57.76
2022,3,San Juan,12.94,50.8
2022,3,San Luis,23.39,81.74
2022,3,Santa Cruz,12.85,43.19
2022,3,Santa Fe,24.7,78.55
2022,3,Santiago Del Estero,11.91,47.98
2022,3,Tierra Del Fuego,29.5,99.51
2022,3,Tucumán,15.14,61.14
2022,2,Buenos Aires,26.12927127832741,77.58
2022,2,Capital Federal,49.873561256261084,121.31
2022,2,Catamarca,15.871790195247085,62.4
2022,2,Chaco,11.70254390369554,43.79
2022,2,Chubut,25.499919336270644,83.19
2022,2,Córdoba,26.781590841133493,87.48
2022,2,Corrientes,12.732146965383649,48.35
2022,2,Entre Ríos,19.10468595065942,63.9
2022,2,Formosa,11.049814591140093,43.42
2022,2,Jujuy,14.656913524540677,57.32
2022,2,La Pampa,30.632721559665786,92.98
2022,2,La Rioja,21.331409216914373,80.14
2022,2,Mendoza,13.782233784570575,49.39
2022,2,Misiones,13.89002818196789,51.0
2022,2,Neuquén,23.81745752817118,80.02
2022,2,Río Negro,20.867543527383393,67.85
2022,2,Salta,13.936010557448652,57.54
2022,2,San Juan,12.597912455631214,49.46
2022,2,San Luis,23.396972678771853,81.76
2022,2,Santa Cruz,12.83962283852644,43.15
2022,2,Santa Fe,24.495906799164608,77.9
2022,2,Santiago Del Estero,11.836737968128928,47.7
2022,2,Tierra Del Fuego,29.60495526496903,99.86
2022,2,Tucumán,14.6914572899128,59.31
2022,1,Buenos Aires,25.563030152028354,76.07814661157262
2022,1,Capital Federal,46.01434762144353,111.79786269174652
2022,1,Catamarca,14.805619574995312,58.20635083561171
2022,1,Chaco,11.775342040436145,44.05948009941883
2022,1,Chubut,26.988759663104396,88.05274093835774
2022,1,Córdoba,26.255262218351167,85.75745356313551
2022,1,Corrientes,12.545281287312793,47.644635141502334
2022,1,Entre Ríos,19.04540527092108,63.70090347123158
2022,1,Formosa,8.896427435598431,34.955686995751336
2022,1,Jujuy,14.847641828629394,58.06462866426784
2022,1,La Pampa,30.200415031402574,91.66332531408715
2022,1,La Rioja,20.96917417226944,78.77459866564503
2022,1,Mendoza,13.5994765497552,48.73524093558345
2022,1,Misiones,13.357539336702546,49.04334199772953
2022,1,Neuquén,22.07746042609429,74.17305509992715
2022,1,Río Negro,20.61822984084394,67.03640754987029
2022,1,Salta,13.588166053353753,56.10759340849759
2022,1,San Juan,11.092116468606637,43.54598160933163
2022,1,San Luis,23.101656231687382,80.72423060601774
2022,1,Santa Cruz,12.894297328809571,43.33842311053054
2022,1,Santa Fe,24.307396998934415,77.30458474758402
2022,1,Santiago Del Estero,11.706882132029497,47.17273839324049
2022,1,Tierra Del Fuego,29.13865104068589,98.29055038672794
2022,1,Tucumán,14.215533334298076,57.39003227231194
2021,4,Buenos Aires,25.36251411440295,75.66410602338475
2021,4,Capital Federal,45.848510714562856,111.27002612891737
2021,4,Catamarca,14.054223759225387,55.2526999859741
2021,4,Chaco,11.772399458164147,44.04856389025934
2021,4,Chubut,25.309325144656967,82.57340063871433
2021,4,Córdoba,25.873153715537683,84.50941853046088
2021,4,Corrientes,11.983198552620907,45.51016102946347
2021,4,Entre Ríos,18.88227767661483,63.155361436165784
2021,4,Formosa,8.768865242200624,34.4545746388443
2021,4,Jujuy,14.555241944242491,56.921070514870486
2021,4,La Pampa,29.509892061530994,89.56734270241313
2021,4,La Rioja,20.742382050283958,77.9234900964576
2021,4,Mendoza,13.25625900699059,47.505317090317746
2021,4,Misiones,13.363319043268442,49.06462073058497
2021,4,Neuquén,21.817563119077384,73.30016254020012
2021,4,Río Negro,20.205613568445425,65.69489961160652
2021,4,Salta,13.759337691497715,56.81442605762217
2021,4,San Juan,10.084133235970333,39.588851864871685
2021,4,San Luis,22.97895624197615,80.29578283135379
2021,4,Santa Cruz,12.808821353847454,43.05121466117346
2021,4,Santa Fe,24.23965799751964,77.08920179439227
2021,4,Santiago Del Estero,11.675440470480114,47.0459491943867
2021,4,Tierra Del Fuego,29.171007839182543,98.40061644865433
2021,4,Tucumán,13.852880446424063,55.92599102424391
2021,3,Buenos Aires,23.96989190399953,71.68218940101933
2021,3,Capital Federal,45.90038346526859,111.27105514250894
2021,3,Catamarca,13.407472376612356,52.709793486001274
2021,3,Chaco,11.48213456009956,42.96241007967663
2021,3,Chubut,24.738375502880167,80.70973847657562
2021,3,Córdoba,24.885957628675673,81.2845665540848
2021,3,Corrientes,11.8228555121759,44.90088312664412
2021,3,Entre Ríos,18.590565595869126,62.17940145385769
2021,3,Formosa,8.643582187295351,33.962033540684324
2021,3,Jujuy,14.240381868423986,55.6892647441935
2021,3,La Pampa,27.767891191051227,84.27996309653611
2021,3,La Rioja,20.565964530219404,77.26016061386845
2021,3,Mendoza,12.710228113581037,45.54828468056102
2021,3,Misiones,12.411772581325813,45.57065365808786
2021,3,Neuquén,20.74816202113861,69.70653344501615
2021,3,Río Negro,19.05925062746504,61.967213114754095
2021,3,Salta,13.55352602212216,55.964278059584196
2021,3,San Juan,10.050236642022515,39.4554480019856
2021,3,San Luis,22.857408818789526,79.87043349212911
2021,3,Santa Cruz,13.016254371883871,43.74732028012005
2021,3,Santa Fe,23.58815244581783,75.01704762728227
2021,3,Santiago Del Estero,11.660736690891678,47.0
2021,3,Tierra Del Fuego,28.150170112829368,94.95386825985027
2021,3,Tucumán,13.533446775711843,54.63604486100796
2021,2,Buenos Aires,23.35247372787298,70.00330336027972
2021,2,Capital Federal,45.48719048129489,110.14440203212098
2021,2,Catamarca,13.313748671467298,52.34030966263861
2021,2,Chaco,11.580041340539402,43.32762729293539
2021,2,Chubut,22.159781771420207,72.29410481936469
2021,2,Córdoba,24.528406291253745,80.11518795931242
2021,2,Corrientes,11.465064580129559,43.5411637336848
2021,2,Entre Ríos,18.435680632917915,61.660264464787886
2021,2,Formosa,8.456293049570467,33.22548419322613
2021,2,Jujuy,14.366784069218694,56.182157011467694
2021,2,La Pampa,27.043558440191944,82.08000672325404
2021,2,La Rioja,20.49158509575061,76.9786615851933
